city,zone_code,zone_name,aliases_portals_json,aliases_internal_json,aliases_typos_json,market_segment,quality_profile,demand_level,liquidity_level,price_band_m2_min,price_band_m2_max,dominant_housing_types_json,building_age_profile,unit_size_min,unit_size_max,amenities_profile_json,comparable_radius_mode,source_quality,owner_team,last_validated_at,is_active,inventory_count,avg_price_m2,median_price_m2,sample_property_codes_json,notes
Córdoba,COR-001,Andalucia,"[""Andalucia""]","[""Andalucia""]",[],,,,,1032,1261,"[""Adosado""]",,111,126,[],zone_plus_mirrors,seed_from_inventory,,,true,2,1147,1147,"[""27902283"",""28782085""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-002,Arroyo del Moro,"[""Arroyo del Moro""]","[""Arroyo del Moro""]",[],,,,,2879,2879,"[""Piso""]",,66,66,[],zone_plus_mirrors,seed_from_inventory,,,true,1,2879,2879,"[""28888135""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-003,Av. Barcelona - Viñuela - Rescatado,"[""Av. Barcelona - Viñuela - Rescatado""]","[""Av. Barcelona - Viñuela - Rescatado""]",[],,,,,1083,2357,"[""Piso""]",,60,115,[],zone_plus_mirrors,seed_from_inventory,,,true,5,1746,1875,"[""28013292"",""28147546"",""28782318"",""28887988"",""29165895""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-004,Barrio del Naranjo,"[""Barrio del Naranjo""]","[""Barrio del Naranjo""]",[],,,,,2411,2411,"[""Piso""]",,95,95,[],zone_plus_mirrors,seed_from_inventory,,,true,1,2411,2411,"[""27702209""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-005,Brillante,"[""Brillante""]","[""Brillante""]",[],,,,,2048,2048,"[""Chalet""]",,586,586,[],zone_plus_mirrors,seed_from_inventory,,,true,1,2048,2048,"[""27192747""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-006,Campo de la Verdad Zona Alta,"[""Campo de la Verdad Zona Alta""]","[""Campo de la Verdad Zona Alta""]",[],,,,,1343,1343,"[""Piso""]",,54,54,[],zone_plus_mirrors,seed_from_inventory,,,true,1,1343,1343,"[""28208731""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-007,Campo de la Verdad Zona Baja,"[""Campo de la Verdad Zona Baja""]","[""Campo de la Verdad Zona Baja""]",[],,,,,2623,2623,"[""Piso""]",,61,61,[],zone_plus_mirrors,seed_from_inventory,,,true,1,2623,2623,"[""28729610""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-008,Casco Antiguo,"[""Casco Antiguo""]","[""Casco Antiguo""]",[],,,,,1723,1911,"[""Estudio""]",,45,119,[],zone_plus_mirrors,seed_from_inventory,,,true,2,1817,1817,"[""27274997"",""28184163""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-009,Centro,"[""Centro""]","[""Centro""]",[],,,,,1931,2543,"[""Piso""]",,70,101,[],zone_plus_mirrors,seed_from_inventory,,,true,2,2237,2237,"[""27400456"",""28729588""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-010,Ciudad Jardín,"[""Ciudad Jardín""]","[""Ciudad Jardín""]",[],,,,,1906,2200,"[""Piso""]",,100,139,[],zone_plus_mirrors,seed_from_inventory,,,true,2,2053,2053,"[""26178808"",""27670857""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-011,El Higuerón,"[""El Higuerón""]","[""El Higuerón""]",[],,,,,1049,1049,"[""Casa""]",,472,472,[],zone_plus_mirrors,seed_from_inventory,,,true,1,1049,1049,"[""28147524""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-012,El Patriarca,"[""El Patriarca""]","[""El Patriarca""]",[],,,,,2069,2069,"[""Adosado""]",,290,290,[],zone_plus_mirrors,seed_from_inventory,,,true,1,2069,2069,"[""28537505""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-013,El Tablero,"[""El Tablero""]","[""El Tablero""]",[],,,,,1940,1940,"[""Pareado""]",,402,402,[],zone_plus_mirrors,seed_from_inventory,,,true,1,1940,1940,"[""24620415""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-014,Fuensanta - Arcángel - Santuario,"[""Fuensanta - Arcángel - Santuario""]","[""Fuensanta - Arcángel - Santuario""]",[],,,,,2625,2625,"[""Piso""]",,80,80,[],zone_plus_mirrors,seed_from_inventory,,,true,1,2625,2625,"[""28582189""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-015,Las lomas,"[""Las lomas""]","[""Las lomas""]",[],,,,,1774,1774,"[""Chalet""]",,155,155,[],zone_plus_mirrors,seed_from_inventory,,,true,1,1774,1774,"[""23192535""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-016,Levante,"[""Levante""]","[""Levante""]",[],,,,,1281,1281,"[""Piso""]",,121,121,[],zone_plus_mirrors,seed_from_inventory,,,true,1,1281,1281,"[""26826148""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-017,Medina Azahara,"[""Medina Azahara""]","[""Medina Azahara""]",[],,,,,1308,1308,"[""Parking""]",,13,13,[],zone_plus_mirrors,seed_from_inventory,,,true,1,1308,1308,"[""27269253""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-018,Parque Cruz Conde,"[""Parque Cruz Conde""]","[""Parque Cruz Conde""]",[],,,,,2273,2273,"[""Piso""]",,110,110,[],zone_plus_mirrors,seed_from_inventory,,,true,1,2273,2273,"[""27667142""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-019,Santa Rosa,"[""Santa Rosa""]","[""Santa Rosa""]",[],,,,,764,2297,"[""Casa""]",,64,314,[],zone_plus_mirrors,seed_from_inventory,,,true,2,1531,1531,"[""27811547"",""28844113""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-020,Tablero,"[""Tablero""]","[""Tablero""]",[],,,,,1867,1867,"[""Chalet""]",,300,300,[],zone_plus_mirrors,seed_from_inventory,,,true,1,1867,1867,"[""27078783""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
Córdoba,COR-021,Villarrubia,"[""Villarrubia""]","[""Villarrubia""]",[],,,,,1134,1134,"[""Pareado""]",,216,216,[],zone_plus_mirrors,seed_from_inventory,,,true,1,1134,1134,"[""24771908""]",Seed generado automaticamente desde PropertyCurrent (2026-05-21T11:58:02.398Z).
